Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Germany,Damme,34,Good,0,Good,34,Good,1,Good,16,Good
India,Gadag,58,Moderate,0,Good,23,Good,0,Good,58,Moderate
United Kingdom of Great Britain and Northern Ireland,Gateshead,54,Moderate,1,Good,17,Good,11,Good,54,Moderate
Switzerland,Geneva,128,Unhealthy for Sensitive Groups,1,Good,28,Good,2,Good,128,Unhealthy for Sensitive Groups
Switzerland,Geneva,128,Unhealthy for Sensitive Groups,1,Good,28,Good,2,Good,128,Unhealthy for Sensitive Groups
Switzerland,Geneva,128,Unhealthy for Sensitive Groups,1,Good,28,Good,2,Good,128,Unhealthy for Sensitive Groups
South Africa,East London,54,Moderate,2,Good,18,Good,3,Good,54,Moderate
United States of America,Elfers,62,Moderate,1,Good,27,Good,7,Good,62,Moderate
Germany,Emden,33,Good,0,Good,33,Good,0,Good,15,Good
South Africa,Bethal,63,Moderate,1,Good,16,Good,10,Good,63,Moderate
Pakistan,Bhakkar,183,Unhealthy,2,Good,122,Unhealthy for Sensitive Groups,0,Good,183,Unhealthy
Malaysia,Bintulu,51,Moderate,1,Good,12,Good,0,Good,51,Moderate
Austria,Bludenz,35,Good,1,Good,29,Good,1,Good,35,Good
United States of America,Blue Island,38,Good,2,Good,35,Good,7,Good,38,Good
Belgium,Bornem,40,Good,1,Good,28,Good,4,Good,40,Good
United States of America,Bourne,38,Good,1,Good,33,Good,5,Good,38,Good
United States of America,Bourne,38,Good,1,Good,33,Good,5,Good,38,Good
Germany,Braunfels,65,Moderate,1,Good,33,Good,3,Good,65,Moderate
Spain,Aspe,28,Good,1,Good,28,Good,1,Good,25,Good
France,Aubagne,145,Unhealthy for Sensitive Groups,1,Good,25,Good,13,Good,145,Unhealthy for Sensitive Groups
Niger,Ayorou,87,Moderate,1,Good,20,Good,1,Good,87,Moderate
Germany,Bad Berleburg,53,Moderate,1,Good,34,Good,2,Good,53,Moderate
Gambia,Bakau,155,Unhealthy,1,Good,20,Good,1,Good,155,Unhealthy
Thailand,Bang Khla,57,Moderate,1,Good,24,Good,1,Good,57,Moderate
Brazil,Barreirinha,25,Good,0,Good,6,Good,0,Good,25,Good
Hungary,Budapest,81,Moderate,1,Good,37,Good,2,Good,81,Moderate
Serbia,Bujanovac,44,Good,1,Good,34,Good,0,Good,44,Good
Republic of Moldova,Cahul,36,Good,1,Good,36,Good,0,Good,21,Good
Cuba,Calimete,50,Good,1,Good,18,Good,2,Good,50,Good
India,Chandannagar,173,Unhealthy,5,Good,117,Unhealthy for Sensitive Groups,6,Good,173,Unhealthy
United States of America,Ensley,51,Moderate,2,Good,47,Good,4,Good,51,Moderate
Madagascar,Farafangana,42,Good,1,Good,19,Good,0,Good,42,Good
Germany,Feucht,64,Moderate,1,Good,51,Moderate,0,Good,64,Moderate
Italy,Fidenza,70,Moderate,1,Good,63,Moderate,0,Good,70,Moderate
Spain,Fraga,38,Good,1,Good,38,Good,0,Good,37,Good
Germany,Frankenberg,55,Moderate,1,Good,47,Good,0,Good,55,Moderate
Germany,Frankenberg,55,Moderate,1,Good,47,Good,0,Good,55,Moderate
Mali,Gao,162,Unhealthy,1,Good,45,Good,0,Good,162,Unhealthy
Australia,Gawler,24,Good,0,Good,11,Good,11,Good,24,Good
Colombia,Marsella,95,Moderate,2,Good,16,Good,3,Good,95,Moderate
United States of America,Mason,46,Good,1,Good,46,Good,1,Good,41,Good
United States of America,Mesquite,66,Moderate,2,Good,31,Good,5,Good,66,Moderate
United States of America,Mesquite,66,Moderate,2,Good,31,Good,5,Good,66,Moderate
United States of America,Moss Point,48,Good,1,Good,44,Good,2,Good,48,Good
Russian Federation,Nakhodka,80,Moderate,2,Good,44,Good,2,Good,80,Moderate
Russian Federation,Nakhodka,80,Moderate,2,Good,44,Good,2,Good,80,Moderate
United States of America,West Chicago,51,Moderate,1,Good,34,Good,3,Good,51,Moderate
United States of America,West Memphis,74,Moderate,1,Good,60,Moderate,2,Good,74,Moderate
Belgium,Willebroek,50,Good,1,Good,38,Good,2,Good,50,Good
Germany,Wolnzach,66,Moderate,1,Good,58,Moderate,0,Good,66,Moderate
Spain,Villacarrillo,40,Good,1,Good,40,Good,0,Good,14,Good
Austria,Villach,64,Moderate,1,Good,39,Good,0,Good,64,Moderate
United States of America,Waco,35,Good,1,Good,27,Good,2,Good,35,Good
Germany,Warburg,53,Moderate,1,Good,44,Good,0,Good,53,Moderate
Switzerland,Gland,33,Good,1,Good,28,Good,1,Good,33,Good
Russian Federation,Golitsyno,61,Moderate,1,Good,27,Good,9,Good,61,Moderate
India,Hole Narsipur,37,Good,0,Good,24,Good,0,Good,37,Good
China,Huaiyin,193,Unhealthy,5,Good,193,Unhealthy,5,Good,155,Unhealthy
United States of America,Huntersville,62,Moderate,2,Good,25,Good,11,Good,62,Moderate
Finland,Ylivieska,39,Good,1,Good,39,Good,0,Good,15,Good
Uganda,Yumbe,45,Good,1,Good,17,Good,0,Good,45,Good
Belgium,Zele,36,Good,1,Good,27,Good,3,Good,36,Good
Germany,Zerbst,38,Good,1,Good,38,Good,0,Good,27,Good
Russian Federation,Zlatoust,33,Good,1,Good,33,Good,0,Good,33,Good
Germany,Usingen,33,Good,1,Good,33,Good,3,Good,33,Good
United Kingdom of Great Britain and Northern Ireland,Wickford,29,Good,0,Good,29,Good,3,Good,23,Good
United States of America,Wildwood,49,Good,1,Good,30,Good,10,Good,49,Good
United States of America,Wildwood,49,Good,1,Good,30,Good,10,Good,49,Good
United States of America,Willingboro,62,Moderate,1,Good,45,Good,4,Good,62,Moderate
Brazil,Xaxim,26,Good,1,Good,11,Good,1,Good,26,Good
Netherlands,Vlagtwedde,30,Good,1,Good,30,Good,3,Good,28,Good
Uganda,Wakiso,95,Moderate,4,Good,16,Good,2,Good,95,Moderate
